# Size  FLOAT_C  FLOAT_SSE2  FLOAT_CUDA  FLOAT_CUDA2  FLOAT_CUDA_INV  BIT_C  BIT_SSE2  BIT_CUDA  BIT_CUDA2  BIT_CUDA_INV  SIGN_C  SIGN_SSE2  SIGN_CUDA  SIGN_CUDA2  SIGN_CUDA_INV 
  8800  0.010000  0.000000  0.010000  0.010000  0.010000  0.000000  0.340000  0.000000  0.010000  0.000000  0.000000  0.340000  0.000000  0.000000  0.000000  
  8900  0.010000  0.010000  0.010000  0.010000  0.000000  0.000000  0.340000  0.000000  0.000000  0.000000  0.000000  0.340000  0.000000  0.000000  0.000000  
  9000  0.010000  0.010000  0.020000  0.010000  0.010000  0.000000  0.350000  0.000000  0.000000  0.000000  0.000000  0.350000  0.000000  0.000000  0.000000  
  9100  0.010000  0.010000  0.010000  0.010000  0.020000  0.000000  0.360000  0.000000  0.000000  0.000000  0.000000  0.350000  0.000000  0.000000  0.000000  
  9200  0.020000  0.010000  0.010000  0.020000  0.010000  0.000000  0.370000  0.000000  0.000000  0.000000  0.000000  0.360000  0.000000  0.000000  0.000000  
  9300  0.010000  0.010000  0.010000  0.010000  0.000000  0.000000  0.360000  0.000000  0.000000  0.000000  0.000000  0.360000  0.000000  0.000000  0.000000  
  9400  0.010000  0.000000  0.010000  0.010000  0.010000  0.000000  0.370000  0.000000  0.000000  0.000000  0.000000  0.360000  0.000000  0.000000  0.000000  
  9500  0.000000  0.020000  0.010000  0.010000  0.010000  0.000000  0.370000  0.000000  0.000000  0.000000  0.000000  0.360000  0.000000  0.000000  0.000000  
  9600  0.010000  0.010000  0.010000  0.020000  0.020000  0.000000  0.380000  0.000000  0.000000  0.000000  0.000000  0.370000  0.000000  0.000000  0.000000  
  9700  0.010000  0.010000  0.020000  0.010000  0.010000  0.000000  0.380000  0.000000  0.000000  0.000000  0.000000  0.370000  0.000000  0.000000  0.000000  
  9800  0.010000  0.010000  0.020000  0.010000  0.000000  0.000000  0.390000  0.000000  0.000000  0.000000  0.000000  0.370000  0.000000  0.000000  0.000000  
  9900  0.010000  0.010000  0.010000  0.010000  0.010000  0.000000  0.390000  0.000000  0.000000  0.000000  0.000000  0.380000  0.000000  0.000000  0.000000  
  10000  0.010000  0.000000  0.020000  0.020000  0.010000  0.000000  0.380000  0.000000  0.000000  0.000000  0.000000  0.380000  0.000000  0.000000  0.000000  
 
